name,author,rating,quantity
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,10
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,10
Eclipse (Twilight),Stephenie Meyer,4.7,10
Educated: A Memoir,Tara Westover,4.7,10
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦",Johanna Basford,4.7,10
Fahrenheit 451,Ray Bradbury,4.6,10
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,10
Fear: Trump in the White House,Bob Woodward,4.4,10
Fifty Shades Darker,E L James,4.4,10
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,10
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,10
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,10
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,10
First 100 Words,Roger Priddy,4.7,10
Food Rules: An Eater's Manual,Michael Pollan,4.4,10
Frozen (Little Golden Book),RH Disney,4.7,10
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,10
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,10
George Washington's Sacred Fire,Peter A. Lillback,4.5,10
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,10
Giraffes Can't Dance,Giles Andreae,4.8,10
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,10
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,10
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,10
Go Set a Watchman: A Novel,Harper Lee,3.6,10
Go the F**k to Sleep,Adam Mansbach,4.8,10
Going Rogue: An American Life,Sarah Palin,4.6,10
Gone Girl,Gillian Flynn,4.0,10
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,10
Goodnight Moon,Margaret Wise Brown,4.8,10
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,10
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,10
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,10
Guts,Raina Telgemeier,4.8,10
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,10
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,10
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,10
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,10
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,10
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,10
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10
Harry Potter Coloring Book,Scholastic,4.7,10
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,10
Have a Little Faith: A True Story,Mitch Albom,4.8,10
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,10
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,10
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,10
How to Win Friends & Influence People,Dale Carnegie,4.7,10
Howard Stern Comes Again,Howard Stern,4.3,10
Humans of New York,Brandon Stanton,4.8,10
Humans of New York : Stories,Brandon Stanton,4.9,10
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,10
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,10
"I, Alex Cross",James Patterson,4.6,10
If Animals Kissed Good Night,Ann Whitford Paul,4.8,10
If I Stay,Gayle Forman,4.3,10
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,10
Inferno,Dan Brown,4.1,10
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,10
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,Jennifer Smith,4.4,10
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,10
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,10
JOURNEY TO THE ICE P,RH Disney,4.6,10
Joyland (Hard Case Crime),Stephen King,4.5,10
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,10
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,10
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,10
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,10
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,10
Knock-Knock Jokes for Kids,Rob Elliott,4.5,10
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT ChildrenÂ’s Book)",Jill Twiss,4.9,10
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,10
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,10
Leonardo da Vinci,Walter Isaacson,4.5,10
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,10
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,10
Life,Keith Richards,4.5,10
Little Bee: A Novel,Chris Cleave,4.1,10
